objid,type,ra,dec,u,g,r,i,z,redshift
1237671768542609423,GALAXY,258.256209479817,64.142667569537,23.63305,16.33992,16.05074,15.47179,22.21859,Null
1237671939804496006,GALAXY,257.849302464634,64.0365813179939,24.63466,23.40612,21.12956,20.39763,22.8269,Null
1237671939804561466,GALAXY,258.145361455718,64.0707039438434,17.94412,15.42686,14.45415,13.74438,13.69301,Null
1237671939804561468,GALAXY,258.096472700569,64.0325247452408,19.7303,17.55445,16.54338,16.11172,15.77803,0.07981008
1237671939804561470,GALAXY,258.208366368167,64.0529482075762,19.19729,16.99064,16.03191,15.5874,15.33404,0.07395603
1237671939804561474,GALAXY,258.067495313237,64.0367718630912,19.86892,17.792,16.80831,16.36035,16.00596,Null
1237671939804561475,GALAXY,258.213356606074,64.0731695719281,19.22808,17.19313,16.26248,15.74695,15.4874,0.07390364
1237671939804561476,GALAXY,258.119946056903,64.060748283265,17.3246,14.93716,14.03668,13.56315,13.3306,0.07343803
1237671939804561483,GALAXY,258.133634652656,64.0385560165344,19.54234,17.63774,16.64294,16.20488,15.96245,0.08280216
1237671939804561603,GALAXY,258.226782216971,63.9924176782293,18.14211,16.19026,15.26385,14.82771,14.48931,0.08285826
1237671939804561640,GALAXY,258.258457858944,64.0522970884749,17.96696,15.81899,14.82889,14.39119,14.08146,Null
1237671939804561830,GALAXY,257.991871535819,64.0891509923163,18.85739,16.83767,15.92575,15.47749,15.12584,0.07968805
1237671939804561927,GALAXY,258.135151500146,64.0028043255508,18.50876,16.4937,15.54861,15.11094,14.75904,0.0849261
1237671939804626957,GALAXY,258.319438259385,64.0556882514591,19.20026,17.23247,16.31498,15.87319,15.56309,0.07458469
1237671939804626958,GALAXY,258.315826222437,64.0518473831523,18.7056,16.53059,15.58619,15.1247,14.82259,Null
1237671939804627262,GALAXY,258.272812917887,64.0912234227177,19.86349,17.65395,16.6936,16.23898,15.89568,0.08209412
1237671939804627306,GALAXY,258.340516614136,64.0690707198408,18.6956,16.64821,15.70953,15.27408,14.95218,0.0761909
1237671939804627307,GALAXY,258.329332563346,64.0768468051447,18.13652,16.10246,15.1578,14.72562,14.42412,0.08112399
1237671939804627378,GALAXY,258.391298019182,64.0133828371002,18.50754,16.4846,15.53414,15.13138,14.7814,0.08205031
